nama_sekolah,npsn,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
SKB KABUPATEN BUNGO,P2960354,10,1,4,5,1,1,3,2,3,4,5,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,3,157,85,72,9,9,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,8,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SKB PORSEA ,P9970065,8,1,2,0,0,0,0,0,1,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,91,43,48,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SPNF SKB KOTA CIREBON,P9954248,9,0,0,1,0,0,1,1,0,0,4,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,14,6,105,66,39,10,10,1,1,1,1,1,1,1,1,2,2,1,1,1,1,5,5,2,2,0,0,1,1,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,
PNF SKB,P9996365,15,6,1,1,1,1,2,1,2,0,2,16,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,14,118,84,34,11,11,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,
SKB Kabupaten Bone,P9954175,31,14,1,2,2,1,2,0,2,0,10,41,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51,3,987,559,428,20,20,0,0,2,2,0,0,1,1,1,1,0,0,0,0,8,8,0,0,0,0,0,0,1,1,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,
SKB KOTA TANJUNGPINANG,P9969990,10,0,1,1,1,0,2,0,1,0,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,4,229,140,89,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,1,1,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
SKB KABUPATEN BOALEMO,P9954369,7,0,1,2,1,2,2,1,2,1,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,2,161,67,94,5,5,1,1,1,1,0,0,1,1,2,2,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,
SKB KOTA PANGKALPINANG,P9948403,22,9,1,1,0,0,1,1,3,1,3,19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,5,496,214,282,6,6,0,0,1,1,0,0,1,1,3,3,0,0,1,1,18,18,0,0,0,0,0,0,1,1,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,
SKB MOPIDO,P9962697,14,2,1,2,2,1,1,1,4,1,3,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,10,441,258,183,3,4,0,0,1,1,0,0,1,1,1,1,0,1,0,1,2,3,0,0,0,0,0,0,1,1,0,0,0,0,5,6,,,,,,,,,,,,,,,,,,
SKB WONOGIRI,P9959913,9,1,1,2,1,2,1,2,6,3,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2,174,88,86,14,14,1,1,0,0,1,1,1,1,1,1,1,1,1,1,6,6,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SKB BALIKPAPAN TIMUR,P9945711,29,2,1,5,1,0,0,0,0,0,2,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,7,875,518,357,9,9,2,2,2,2,0,0,1,1,1,1,0,0,0,0,8,7,1,2,0,0,0,0,1,1,0,0,0,0,15,15,,,,,,,,,,,,,,,,,,
SKB DISDIKBUD ACEH SELATAN,P9970007,3,0,2,1,2,1,1,0,1,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,87,73,14,4,4,1,1,1,1,1,1,1,1,2,2,1,1,0,0,10,10,4,4,0,0,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SKB II TANAH DATAR,P9970045,13,1,1,1,1,0,0,1,3,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,182,142,40,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
SKB Tanah Bumbu,P9970262,11,2,2,2,2,1,3,2,6,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,235,154,81,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SKB LABUHANBATU,P9963179,4,1,0,0,0,0,0,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,60,24,36,8,8,0,0,1,1,0,0,3,3,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,
