nama_sekolah,npsn,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
SLBN 1 MUNA BARAT,69965360,9,8,0,0,0,0,0,7,3,0,3,4,0,1,2,0,1,0,0,0,2,1,2,1,4,1,3,2,2,0,1,3,0,0,2,3,0,0,0,0,3,7,1,30,19,11,12,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,10,10,,,,,,,,,,,,,,,,,,
SLB-B BERINGIN BHAKTI,20215028,11,7,0,0,0,0,0,0,0,0,2,5,2,1,3,1,0,2,0,2,0,2,1,2,4,5,0,0,3,0,3,2,3,5,1,4,2,2,0,0,14,7,3,47,20,27,7,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SLB B PANGUDI LUHUR,20108949,44,34,1,1,0,0,2,1,1,0,13,32,7,1,13,9,11,10,14,7,11,11,7,9,17,6,9,13,14,5,10,8,8,4,9,9,9,8,0,0,6,45,8,243,140,103,76,76,2,2,3,3,1,1,6,6,1,1,0,0,1,1,4,4,3,3,0,0,1,1,1,1,3,3,0,0,1,1,,,,,,,,,,,,,,,,,,
SLB KASIH IBU,10495039,23,9,0,0,0,0,0,0,2,0,1,10,1,1,4,4,5,5,10,2,4,4,7,10,4,6,4,2,7,6,3,4,8,1,15,6,5,5,0,0,11,11,2,131,76,55,14,11,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,6,0,1,0,0,0,0,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,
SLB YAMET SCHOOL CENDANA LAMPUNG,69987635,7,4,0,0,0,0,0,0,0,0,1,5,0,2,1,1,6,0,0,0,1,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,2,18,15,3,8,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,0,0,3,3,,,,,,,,,,,,,,,,,,
SLB Negeri 6 Jakarta,20109529,29,29,0,0,1,0,0,1,3,2,14,22,3,4,7,3,10,5,5,5,7,3,7,6,8,4,8,8,7,7,4,12,8,7,8,6,8,6,0,0,21,36,7,159,87,72,31,31,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SLB B-C SURYA WIYATA,20258329,14,5,0,0,0,0,0,0,0,0,2,4,2,1,1,1,0,3,0,0,1,0,1,0,1,0,4,1,1,1,1,0,0,0,2,4,0,0,0,0,22,6,3,22,12,10,18,18,1,1,1,1,0,0,1,1,1,1,0,0,1,1,6,6,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SLB AL HASANAIN,69876125,12,9,0,0,0,0,0,0,0,0,5,5,1,0,3,3,7,4,5,3,4,2,1,5,2,3,1,0,1,6,1,3,4,0,4,2,1,0,0,0,7,10,1,65,34,31,8,8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,
SLBN Dr. RADJIMAN WEDYODININGRAT,69976860,26,15,1,1,0,0,0,0,0,0,3,14,3,1,7,1,7,2,5,2,4,0,8,1,4,2,10,5,6,3,7,1,2,6,0,1,2,0,0,0,11,17,4,86,62,24,11,13,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,
SLB-YBSM,69892366,29,9,0,0,0,0,0,1,4,0,1,16,1,3,2,0,9,0,4,1,4,2,8,4,1,0,4,1,5,8,8,3,1,0,5,2,2,1,0,0,5,17,4,75,53,22,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,
SLB B-C YPAALB LANGENHARJO,20310491,25,18,0,0,0,0,0,2,0,0,7,13,0,1,3,1,3,9,6,2,6,1,6,5,11,7,3,5,6,5,6,2,6,6,2,4,4,3,0,0,10,20,1,112,62,50,44,44,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,
SLBN 01 Bengkulu Selatan,10701050,24,24,0,0,1,0,0,0,6,0,10,21,2,6,8,3,8,7,3,4,4,3,9,6,9,6,16,8,9,7,9,0,8,2,4,2,6,4,0,0,12,31,8,145,93,52,27,27,0,0,0,0,0,0,1,1,2,2,1,1,0,0,7,7,2,2,0,0,0,0,0,0,0,0,0,0,18,18,,,,,,,,,,,,,,,,,,
