nama_sekolah,npsn,sekolah_id_enkrip
PKBM PONCOWATI,P2963181,EFC586CBACC6735E6DCD                                                                                
PKBM KUTTAB AL FATIH,P9952892,84507231E9AAA3282ACD                                                                                
PKBM AGUNG MAKMUR,P9954253,F9F85D0E20B9145A632A                                                                                
PKBM Insan Cendikia,P9996997,79F823BC140794347E60                                                                                
PKBM AL-BAYAAN,P9970538,D48191C8F537B6EB1F3B                                                                                
PKBM RAUDHATUL HASANAH,P9963183,DC9A66B21A9200638821                                                                                
PKBM AZAHRA,P9970681,A8D97FD3CB38FE9DAD74                                                                                
PKBM BINA MANDIRI,P2962455,1D1BEAB6BE804C5BDFE5                                                                                
PKBM Al-Ihsan   ,P2960898,338AFFDB6E066D4E000F                                                                                
PKBM KH.AHMAD DAHLAN,P9948643,F2B35F84C63A71FA42B5                                                                                
PKBM SERUMPUN,P2966781,B3A86E7D5D2E647F68C3                                                                                
PKBM CITRA BANGSA,P9908849,1C18BC6F1BA52F131CF6                                                                                
PKBM GRAHARI,P9934361,364FAEB90EB3980E2BAD                                                                                
PKBM GELIAT BOCAH KAMPOENG PROGRAM ,P2967583,A0F06BFA129AB6FA646E                                                                                
PKBM AL - QADAR,P9962985,702564BE4649CA33380C                                                                                
PKBM BAHARI,P9997026,C7357917067D4C9F80CF                                                                                
PKBM CERDAS,P2965603,A8CF174AE40C1A07862D                                                                                
PKBM Walibu,P2960015,6F1053737BB389F09BB0                                                                                
PKBM AL BADRIYAH,P9970535,E5F0969D9330D62D9231                                                                                
PKBM AL BIRSALAM,P2966352,4312532AA04411BE03D3                                                                                
PKBM DILEM RENGGALI,P2967082,CB1D1B9ABD6D066AE970                                                                                
PKBM FRIDA AMAZING,P9980031,A37378A8F081323062E7                                                                                
PKBM ISLAM MANDANGIN,P9996893,E7EB66FC52F7DD037573                                                                                
PKBM SINAR MENTARI,P2964445,7CA8D2A6AF2C1CCD7979                                                                                
PKBM MAGENDA JAYA,P2961520,254E3AB6EE5892FD2A87                                                                                
PKBM NURUL AL RIDHA,P9996283,74C8481DA4E8B610D141                                                                                
PKBM PANCA HIDAYAH,P2960480,3830F0D2F91A4334DE4C                                                                                
PKBM IDAMAN BERSAMA,P9954423,093DB5EB63DD6954097C                                                                                
PKBM CERDAS,P2963590,FFB769D3CCFD55A9665D                                                                                
PKBM KARYA NYATA,P9996318,9BF438A791BDA51EE69B                                                                                
PKBM NURUL ASROR,P9996385,84C52869ACBD2A4AA3C0                                                                                
PKBM BINA MANDIRI,P9963108,CDACE509DC73929591D9                                                                                
PKBM Cipondok Jaya,P2960696,4F3E44CA89F0450DE718                                                                                
PKBM ARISTOKRAT,P9970222,718253924D637C09F4B9                                                                                
PKBM MAPPIDECENG,P2963164,A9022E98129FB20C7F28                                                                                
PKBM SANOHI,P9948095,C17CEC3A5C8DB084D626                                                                                
PKBM DIRGANTARA,P9997422,3F07FDAA33815B3FF4A9                                                                                
PKBM Perintis,P9952606,7C846C3CF8D9ECEBE50C                                                                                
PKBM WIDYA BHAKTI,P2961777,485FD152393DCE08B0B2                                                                                
PKBM NURUL ULUM,P2962981,6EE25A9073A8911B11F8                                                                                
PKBM Excellent Spirit Christian School,P9984256,32EBD1A6DB2B1A357D72                                                                                
PKBM NUSA INDAH,P9959917,2A0BD03E5B2B91B5C7D4                                                                                
PKBM PAJA MANDIRI,P2965937,CF9C6C1D40790800179A                                                                                
PKBM Gunung Jampang,P9997181,F8A629CDCB7CB271840D                                                                                
PKBM APRILA,P2970103,7F12912A1B239473D84E                                                                                
PKBM Kadewa Dewa,P2964058,65DF4BBBEA44027D1CA4                                                                                
PKBM IZZATUL ISLAM,P9952596,EDB4764A4354DB3404A4                                                                                
PKBM SINAR TANETE,P2962150,3FB9AC653D1A0CBA7597                                                                                
PKBM Pelita harapan,P2966144,83CA5524F0BCA3FDB537                                                                                
PKBM Bina Trampil,P2960744,00D4288257A989683098                                                                                
PKBM AL LATHIEFUSSALAAM,P9996513,27B4CDA3728FBB598E21                                                                                
PKBM SENANG HATI,P2962442,90989BE73EB1D66C6EA2                                                                                
PKBM SHOFIE SALSABILA,P9997174,9F3A0A6300CC793F90A6                                                                                
PKBM NEGERI 05,P9926222,5832844E465F3267D83B                                                                                
PKBM AL FALAH,P2962960,B3493A2475E58CB58801                                                                                
PKBM AL-AMIN,P9908326,62456BF6751E280233B1                                                                                
PKBM SAADEMO,P9959811,F602A92E08800968F5F8                                                                                
PKBM Mujahidin,P2966168,AAACFE1972FD1C993ADD                                                                                
PKBM AMANAH WANITA ISLAM,P2965367,0226BFB8BE4FAAD81909                                                                                
PKBM WINATA KARYA,P9954214,328610A5F7A901B23E9B                                                                                
PKBM AL - BAROKAH,P2962091,B9858F7C739AB1713304                                                                                
PKBM KUTHA SARI,P9908231,C8C808E989CF03BEDEE4                                                                                
PKBM ANAK CEMERLANG KOTA BENGKULU,P9948571,2E1FEF4BA4AFA70C17CD                                                                                
PKBM PERINTIS,P9926365,670D1E04114F17011956                                                                                
PKBM CITA NANDA,P2964443,74D160098F9D8FE287A5                                                                                
PKBM ORKAPI ,P2970193,874E05B2E713D5604AC7                                                                                
PKBM MAJU BERSAMA,P2960395,3434FDA13713DCBC72F1                                                                                
PKBM ALKAHFI,P2960323,B7A5C0BDABCBF117198C                                                                                
PKBM DHARMA AYU,P9985068,12808C4A647F26E1A832                                                                                
PKBM MAHDIY,P9984254,4E48723196950B508335                                                                                
PKBM KARTINI,P2965524,6D487AC04BC948970280                                                                                
PKBM HOMESCHOOLING HSPG,P9984299,AECB2F9B1EA59601D87C                                                                                
PKBM ANAK TANGGUH,P9984901,7F61F004520DC3F6194E                                                                                
PKBM NARASA,P9970406,7F5EB13A5D7A2FBE4028                                                                                
PKBM SELA PANDAN,P9948107,ABE11B8B9DAFB0579A33                                                                                
PKBM RAWAIDO,P2966263,AE0012625F9410190AAB                                                                                
PKBM SIKAMASEI,P9948611,8C2594679BE5D222D85F                                                                                
PKBM MEKAR SARI,P9948386,8CB387D95B2A63850C58                                                                                
PKBM ADITYA,P9963164,FA16A438914D4EF777CF                                                                                
PKBM UGITO,P9959899,FDC3666AF428CDC95BB8                                                                                
PKBM USAHA MANDIRI,P9926281,EDA77522502E801552EE                                                                                
PKBM MANDIRI,P2966834,587F6980CBC858D5C8F5                                                                                
PKBM Lumbis,P2962353,6722B96B95FDADE42EE7                                                                                
PKBM Peduli Ilmu,P9970518,7BE1F67335E18C5BD4F6                                                                                
PKBM AL-HIKMAH RABA,P9956992,AA9B8CA857BF329095DA                                                                                
PKBM RESKY,P2963482,6B80E4169A1F0FC28869                                                                                
PKBM SIMIAKAMA,P9934413,A30185BAB467FF243AA3                                                                                
PKBM AL-MAAUUN,P2965493,868EE295334AF0BDF097                                                                                
PKBM SADINA ,P2963818,B9A3AA58E9F77AFC0632                                                                                
PKBM SEMAR,P2965549,56A4E0931FD2F13A11A3                                                                                
PKBM BINA ILMU,P9957073,1C6A80B557215EED0084                                                                                
PKBM CAHAYA HARAPAN,P9996267,F565AA2BF670A3C3BC8F                                                                                
PKBM MINHAJUL MUSLIM,P9970556,14C38B53D9D7016F9D10                                                                                
PKBM MANARUL HUDA,P2960940,528BCCF8917BDC154BCF                                                                                
PKBM TECHNOSA,P9908715,0E4F4D210E86459843B6                                                                                
PKBM NURUSYSYUHADA,P9984685,1F1997973F3D1226E4EE                                                                                
PKBM Flamboyan,P2966862,65E2A95378942454D6B9                                                                                
PKBM TUNAS HARAPAN,P2960963,F8CDCA7901B61DC9AD85                                                                                
PKBM CORNESTONE GLOBAL ACADEMY,P9970057,B954483D469AF646F782                                                                                
PKBM  TABATUKU,P9948328,F3CF74E4BF2978193151                                                                                
PKBM BINA MANDIRI,P9934288,19BA1CA699ADCEEE6F4B                                                                                
PKBM AS-SYIFA,P9926343,6C42BFCB834C3E742505                                                                                
PKBM DEFAYASA,P9996468,37656FE64967575BA8E1                                                                                
PKBM Bunga Bangsa,P2964010,631015A64B350253FEA2                                                                                
PKBM KOMPAK,P9952920,657B5FF6FB4C4B1C4378                                                                                
PKBM Al IKHLAS,P9952597,15BDCD01553164C2FE46                                                                                
PKBM Syarif Hidayatullah,P2966607,31B5F57744CA57BB0B19                                                                                
PKBM BINTANG BANGSA,P2967633,6E4B0DE656472D26CEB7                                                                                
PKBM HUBIKIAK,P9962851,3DE29C4BA86E2C6916D0                                                                                
PKBM  AL ISLAHIYAH,P2967640,7EF3E193229AE92F0262                                                                                
PKBM MANUNGGAL NUSANTARA CYBERSCHOOL (MNC),P9984480,07CE7C8CEC2E7B42E4C5                                                                                
PKBM MITRA INSAN SEJAHTERA,P9984867,90BB014FE2A859489D3C                                                                                
PKBM GENERASI MANDIRI,P9970320,A0DADB8B1914CC45F2B3                                                                                
PKBM TEKRI KUSTRA,P9962963,E3C87FAEBBBA2D853EA0                                                                                
PKBM SALSABILA MURATARA,P9963086,20F33FA432BDBACF88DB                                                                                
PKBM KHOIRU UMMAH THORIQUL FATAH,P9997363,97F61D9217B4211DE00A                                                                                
PKBM POPALIA JAYA,P9934379,D85DBA2D42DBD2C97845                                                                                
PKBM AMANAH,P9997283,D13F78F2E9D00FE28B1E                                                                                
PKBM TIRAWONUA,P9952521,F690209AFEC0639B113F                                                                                
PKBM ANUGRAH,P9908221,F648F9C9E284606AE2AE                                                                                
PKBM MENTARI,P9908793,7133B1024C1F4B34508E                                                                                
PKBM SANGGAR 21,P9947949,B8858FE01D1E1FF85B96                                                                                
PKBM PUTRA BANGSA,P2960809,CF4D4D18982DDE661D3C                                                                                
PKBM PUSPO GUMILANG,P9908495,1B088613F75AB89C63F8                                                                                
PKBM PPS BAETUL ALIYAH,P9952617,03C2A96C6F5214E68803                                                                                
PKBM ARROZIKIN,P9959785,238890B930ABA83C441E                                                                                
PKBM YPGB,P9985093,64B6F7C34B2503F46B33                                                                                
PKBM DARUL ILMI,P9996747,5EEFCEE14E881C20C6E2                                                                                
PKBM ANGGREK,P2966172,D6573C33197FC72BA561                                                                                
PKBM SUNAN GIRI,P9934634,833857260CE0FE41015B                                                                                
PKBM AGUNG ,P2966548,CE8B6D6EF04391CA6635                                                                                
PKBM KASIH BUNDO,P9956865,C59D3B8F4558AA3387DB                                                                                
PKBM PAPPUANGAN MESA,P9948059,A490234D2B1446E6EBFE                                                                                
PKBM Gempita,P9984817,03DE47786982F1B38245                                                                                
PKBM SINAR BUDI,P2963466,79EAFD927127618B8E7C                                                                                
PKBM Aura Anugerah,P2960013,9DA1F9F08E936BE225B8                                                                                
PKBM WAGUNIK,P9952670,130C724E1BEA2D981F3C                                                                                
PKBM ALAM SEMESTA,P9997165,8A162ED0AD537C54E140                                                                                
PKBM Anggrek,P9952831,6C7EA14CBE9FA8819CD8                                                                                
PKBM KI HAJAR DEWANTORO,P2962516,37C944A1BAA85D2EA0F7                                                                                
PKBM MUARA TIGA JAYA,P2964407,0B37FCAFA5C3DEF8998A                                                                                
PKBM MUKTI,P9952855,256BD496C7667B105DA0                                                                                
PKBM HANDAYANI GOMBONG,P2963948,E7148BB6D784039EC41E                                                                                
PKBM BAROKAH,P9934700,80D6C705A3A27111A328                                                                                
PKBM TAMAN MADYA,P9926443,FD216795D99237E07289                                                                                
PKBM AL HIDAYAH,P9952600,26D83F4254E52C131EFB                                                                                
PKBM SEPAKAT JAYA,P9997137,627F8F72BDEAE7E26951                                                                                
PKBM PUYUH KONENG ,P9997024,FDC6F082665DC1F400A0                                                                                
PKBM MUKTI MANDIRI,P2963458,0EFDF523CB42146D63F4                                                                                
PKBM UTAMA,P2966562,3AB7C53207CE62195A72                                                                                
PKBM BERSATU,P9984276,BE8594BF5EF31C3EB031                                                                                
PKBM SINAR HARAPAN,P2969427,A4D8E5667259115D2A68                                                                                
PKBM NURUSSAADAH,P2963915,C1FF4E9346BDD11787A5                                                                                
PKBM TITAN JAYA,P9956788,A8F5EB363C5105AB4130                                                                                
PKBM DIT TUKNIL,P9997258,84E3984E3D27D37F9D2C                                                                                
PKBM MUTIARA,P2963477,89CDFC5F31DF201E7CC0                                                                                
PKBM ANAK BANGSA,P9984780,BB8C707E93F7B139BAE4                                                                                
PKBM KARYA JAYA,P9952909,A517B11EF2BBE32D7016                                                                                
PKBM MENTARI,P9934856,EBBB4C4363C858B42505                                                                                
PKBM ROSARI,P9970267,914C8D36BD3AA28AF5FA                                                                                
PKBM AL FUTUHIYYAH,P9996749,3B7A37500292C83E6395                                                                                
PKBM PUTRA BANGSA SUMENEP,P9996681,54F954BE5568BC9FA78B                                                                                
PKBM TIGODULIPU,P9956895,581B66D09DAF0E6C3941                                                                                
PKBM LEMBAGA INFORMASI BISNIS & MANAJEMEN INDONESIA,P9908204,311B789E5D8659F53F63                                                                                
PKBM AMINULLAH,P9959651,C7E559E4A763FE22E13B                                                                                
PKBM WANA JAYA,P9934475,8202E902CC5F20B13FF1                                                                                
PKBM BINA WARGA,P2963115,669AF3673BB1BC81A048                                                                                
PKBM Bukit Tenilo,P2966864,8FBAF4F0C1CEF11211F5                                                                                
PKBM Al  Marzuki,P9947986,A0BCDF17CDCA499DE41E                                                                                
PKBM AS-SUHADAH,P9959648,DA79C2FB8C23435F6191                                                                                
PKBM BOJEN MANDIRI,P2966351,8042914FD3194A4E824C                                                                                
PKBM PRIMATAMA,P9970683,DE81C335C1AC51F51105                                                                                
PKBM HARAPAN JAYA,P9945744,C13590243F29A92E9B7F                                                                                
PKBM BHINA SWAKARYA,P2964666,452E63D2F8063B774441                                                                                
PKBM WERDI SASTRA,P9948293,FC3A28810AA6BB0FA85B                                                                                
PKBM BHAKTI PUTRA,P2966377,06F8C765DB801DED9E00                                                                                
PKBM AL-ANSHAR,P9970316,74DDE4D44AEA957FB1AF                                                                                
PKBM GUNINGGAME,P2967453,955F3DD20F188C9589D3                                                                                
PKBM HARAPAN BANGSA,P2966005,140ECEEE1DEE54D262DE                                                                                
PKBM PANDU   ,P2960784,7E2CBC74A287573167BB                                                                                
PKBM TAMAN BELAJAR MASYARAKAT,P9996735,93B9BCF35C7A308CE200                                                                                
PKBM NURUL ILMI,P2965858,14B749B58BEC7B1CF243                                                                                
PKBM Marjulu,P9948526,2E3386E484F83CD08EA5                                                                                
PKBM AL HIKMAH,P2964701,9561DB1525621FC682FF                                                                                
PKBM MUNTAQA,P2963912,776EB6EB6C670ACCB4A6                                                                                
PKBM MAPPAENDE FAMILY,P9996433,84170BDCD7C46E2AEFCE                                                                                
PKBM GIRIWANGI,P2970237,B255843F1AAC8824A9D5                                                                                
PKBM MATAHARI BANYUWANGI,P9996291,034C60DF47C9256A959F                                                                                
PKBM PENGAYOMAN,P9963081,ADD98A62A56E0D86186F                                                                                
PKBM MA  HAD UMMU SULAIM,P9997273,55C5797EFFFA12E03C4F                                                                                
PKBM KARYA MULYA,P9908335,5BF2E14D5117A93D36F6                                                                                
KRIDHA WIYATA,P9980050,F76FBD5F0F63F6BCDAAF                                                                                
PKBM BAUGENIVILLE,P9959877,7C2C188EBDF25DD6B4A4                                                                                
PKBM AL FATH,P9984461,B18F208877B86D248D99                                                                                
PKBM TUNAS MEKAR,P2962968,6B3CD91BDEFFADAB8636                                                                                
PKBM AHSAN SYAMIL,P9996746,BCA60331CF7E36F10061                                                                                
PKBM JAYA MANDIRI,P9954338,9E8B6B48FD2065D7603D                                                                                
PKBM MAJU BERSAMA,P9996758,0D637A7102420EA6EAC0                                                                                
PKBM LePMI,P2963782,EA96B10239D803E6CF52                                                                                
PKBM BUNDA,P2964845,80FD80B98A4239996C6A                                                                                
PKBM GIRI ASIH,P2965149,9E48D974CB9C4680B00D                                                                                
PKBM Majelis Ta`lim Arraiyyan,P2963981,F601A42140B7244E1FFA                                                                                
PKBM PRIMA,P9934487,41E28B59D6FFA28A4CB2                                                                                
PKBM KAISAR PAJAJARAN,P9984746,01724404F8C17784E392                                                                                
PKBM TUNAS BANGSA,P9948522,32B42855A48CE42D6169                                                                                
PKBM TUNAS PALI,P9926426,6519273E488B1E5D84B6                                                                                
PKBM MELATI BANGSA,P2966195,9949DD0FBE64661665B5                                                                                
PKBM Amanah,P2960737,92B09D63060C5266033F                                                                                
PKBM TALENTA CENTER JAKARTA,P9984649,157E3959BB36BF6FA427                                                                                
PKBM Tabina,P9934480,959F2FEAEE0C3ADEA7D9                                                                                
PKBM AL-NURIA,P9980015,2BA967B89E158E524277                                                                                
PKBM BANGKIT NEGERIKU,P9996323,2036AE6C0D75364887E3                                                                                
PKBM ASY SYUKUR,P9934738,BE8BA5FB3B507AC9C796                                                                                
PKBM PERSADA,P2960966,7DFB773CD33D4DEBED2D                                                                                
PKBM PUTRA HARAPAN BANGSA,P2964241,3B49C28FC47297841297                                                                                
PKBM MATUARI,P2967224,4BD2DB5EDCFC64078EBC                                                                                
PKBM PANTAI SERAY,P9948558,5D1612A4E8B614B22B68                                                                                
PKBM CEMERLANG,P2966182,F1E9DAD1773535DEC70B                                                                                
PKBM ASH-HABUL HIDAYAH,P9926557,5B27E44D47C8846F8205                                                                                
PKBM MUTIA,P2967553,16074751C7339AF3EA36                                                                                
PKBM ROMA FLOBAMORA,P9945659,E393E1E11E261B96C2EA                                                                                
PKBM TRIDAYA,P9996907,C98DF6EDD23D84599927                                                                                
PKBM TOBEN LEWUK,P9952905,C6D05C1BC8BF2CA648C3                                                                                
PKBM AZZURA,P9984764,711EE68418C1261CDCE0                                                                                
PKBM TANDOLE,P9985061,75388D2E34E99C211C76                                                                                
PKBM SUMBER KARYA UTAMA,P2962766,9CA9B2224E624C1C7182                                                                                
PKBM TARBIYATUL BAROKAH,P9996682,054D6EACD180EB4FB07D                                                                                
 PKBM DARUL ULUM,P2961295,D3D3FB69E6597FB19D29                                                                                
PKBM DARUL ILMI WADDA WAH,P9970373,4C9CE1B3499947DF4746                                                                                
PKBM KARTINI,P9934504,215B5C189F40498B924D                                                                                
PKBM NURQINA AMALIA,P9948367,35C38E86DF999F16E2B0                                                                                
PKBM DARUL IHSAN,P9980082,96F729881EC0A6101576                                                                                
PKBM SINAR LESTARI,P9984697,E765735525701B9A5A0E                                                                                
PKBM ROSELLA,P2970161,C05042C269180C4AEF29                                                                                
PKBM OMEGA JAYA,P2960895,9B8BFFB32453C93C0E8A                                                                                
PKBM. MORINI,P2964331,30688532C02274EDE30B                                                                                
PKBM  Prima,P2967657,861F4A23E48173719380                                                                                
PKBM VEKTOR,P9962722,B77EA2971BB6E6FC3A79                                                                                
PKBM Mekar,P2960062,8A92EC9834FFC0B835D3                                                                                
PKBM SUMBER ILMU,P2960947,B9238DD10F8F1031B1DB                                                                                
PKBM ERAGAMA,P9954334,AC37F81B2EF2067AE514                                                                                
PKBM Cikal Bangsa,P9985028,BCC9934F79F81EAB70D6                                                                                
PKBM KONTUDOPI,P9934800,828A1DA1FFCB1A5B06C4                                                                                
PKBM MAJU BERSAMA TAMBUSAI UTARA,P9908862,A8A0BD6AF473815FCDA3                                                                                
PKBM GIAT BELAJAR,P2963129,9D69308C9B719046C139                                                                                
PKBM TANPA BATAS,P9963151,6FFDCE83EB5AC71312C7                                                                                
PKBM SINAR BANGSA,P2961137,DFB650113E344DED765F                                                                                
PKBM PAPA ROZTI,P9948554,30B3E7D8703BC8D40472                                                                                
PKBM TUNAS HARAPAN,P9948507,EE5191E58E44BFC9A486                                                                                
PKBM DHARMA BANGSA,P9997412,D0FDBD59A63A4F2F3254                                                                                
