nama_sekolah,npsn,sekolah_id_enkrip
SKB KABUPATEN BUNGO,P2960354,BA121D032F70C5C092D0                                                                                
SKB PORSEA ,P9970065,B1A413E32ABA3B680FA9                                                                                
SPNF SKB KOTA CIREBON,P9954248,9C52949B08A57CB36C3C                                                                                
PNF SKB,P9996365,8853B8A55CE4948A85B0                                                                                
SKB Kabupaten Bone,P9954175,55249EE426C87F9D54D8                                                                                
SKB KOTA TANJUNGPINANG,P9969990,3A9F7B0EA940C814D5E4                                                                                
SKB, KAB. KOLAKA,P9948220,4584F548F4FC452B3FDC                                                                                
SKB KABUPATEN BOALEMO,P9954369,185EB6D4196D40B261CA                                                                                
SKB KOTA PANGKALPINANG,P9948403,AC217FA4B114D297A3BA                                                                                
SKB MOPIDO,P9962697,6B0901C60B8572C03E25                                                                                
SKB WONOGIRI,P9959913,0AA757E09EC64ADA84D0                                                                                
SKB BALIKPAPAN TIMUR,P9945711,F65CF8B0A105DC9C5FED                                                                                
SKB DISDIKBUD ACEH SELATAN,P9970007,9FF6777398E239FC6DE8                                                                                
SKB II TANAH DATAR,P9970045,BAC8F311D478CF004E01                                                                                
SKB Tanah Bumbu,P9970262,4FC2DD1F2E8FCA800466                                                                                
SKB LABUHANBATU,P9963179,597855CBA08C5DCCF885                                                                                
SKB KABUPATEN NGANJUK,P9970334,19920015D1B31D8B3DC7                                                                                
SKB Kabupaten Seluma,P9970226,F36C5CCB4491D2252D60                                                                                
SKB KOTA CIMAHI,P9959904,D1C8834E520EBDDC52D1                                                                                
SPNF SKB WALMAS,P9959660,34AAAD78E0457134A997                                                                                
SKB NATUNA,P9970341,EF34D0A1EC633357DF2B                                                                                
SKB SONDER,P9954349,E64D399D2CFD2ADEDCE0                                                                                
Skb Kota Solok,P9948162,9E0C24466005C63674C3                                                                                
SATUAN PENDIDIKAN NONFORMAL (SPNF) KABUPATEN BINTAN,P9970529,0D6F93C30CFDF1A0E4D7                                                                                
SKB SEBATIK,P9962889,500831FE13F1C4402840                                                                                
SKB Balikpapan Utara,P9952475,B2EC4741AC2E43F7FF77                                                                                
SPN SKB MALRA,P9956821,75D91DE1C579D8BB506D                                                                                
SPNF SKB KOTA BUKITTINGGI,P9959893,A289BA20B84639C32640                                                                                
SKB KEBUMEN,P9952843,9A7F1DE56959190BC252                                                                                
SKB KABUPATEN ENDE,P9970219,0B4FB8C5BA6DF1178996                                                                                
SPNF SKB Kab. Kerinci,P9970441,48F18B59F933BD2402E7                                                                                
SKB KABUPATEN SUKOHARJO,P9952648,4338D2117BF09E615F3A                                                                                
Satuan Pendidikan Non Formal SKB Sangatta Selatan,P9970257,71539DDB81E79EC72CFD                                                                                
