nama_sekolah,npsn,sekolah_id_enkrip
SLBN 1 MUNA BARAT,69965360,C4E4210D5FAAC16F1C31                                                                                
SLB-B BERINGIN BHAKTI,20215028,EC25F072F62181866293                                                                                
SLB B PANGUDI LUHUR,20108949,DD1C6CB0F997F9A2DC8C                                                                                
SLB KASIH IBU,10495039,7B3556A6975E2B5A4220                                                                                
SLB YAMET SCHOOL CENDANA LAMPUNG,69987635,9AB70B3B4263C355D8F1                                                                                
SLB Negeri 6 Jakarta,20109529,EEB8034CA1DDDB9B357A                                                                                
SLB B-C SURYA WIYATA,20258329,EC2A56C48D38DC1DE54F                                                                                
SLB AL HASANAIN,69876125,8A7A2D4169AC6B370BB3                                                                                
SLBN Dr. RADJIMAN WEDYODININGRAT,69976860,02AC10E3BDA2C13AA184                                                                                
SLB-YBSM,69892366,B04903A9056160F55926                                                                                
SLB B-C YPAALB LANGENHARJO,20310491,1483E00FA50B3FF6EC80                                                                                
SLBN 01 Bengkulu Selatan,10701050,AA6495D8099E367B7D53                                                                                
SLB BHINEKA,20519475,0B15C01553C39DF9FA1E                                                                                
SLBS TAT TWAM ASI,40402741,17D70B75514506200490                                                                                
SLB DHARMA WANITA PANE KOTA BIMA,50219681,ED2E81F10ACC4992D09D                                                                                
SLB PURNAMA ASIH,20267659,01A5A0DF07BF418A8F21                                                                                
SLB BETHEL,20554610,4B61745FD9725FE2DF29                                                                                
SLB A YPAB,20532428,449686DFBB7D8418887C                                                                                
SLB BC HIKMAT,20219879,003ECCE606CEE7F7648E                                                                                
SLB NEGERI TAMANWINANGUN KEBUMEN,20305261,79CE1B37887086DF024B                                                                                
SEKOLAH KHUSUS BINA INSAN MANDIRI TENGGARONG,69931888,D1ECB3EB3AAB1E28B4E7                                                                                
SLB MGF LUBUK BUAYA  PADANG,10303568,D0656A2ECF0F748B112D                                                                                
SLB SABILILLAH,69760826,D807FCEB67C755282DE2                                                                                
SLBS ABCD AISYIYAH BANGGAE,40601492,CA5106F0DF4402B125D9                                                                                
SLB NEGERI POSO,40204277,2DE3CC40CA6779A02935                                                                                
SLB C AUTIS NEGERI KEDUNGKANDANG KOTA MALANG,20533636,4569588BEBA8B6544983                                                                                
SLB NUR KHABIB,69978384,A300F89D4F37B30F67AA                                                                                
SLB CIREMAI KASIH,20258232,6458106FFE656BEA0F4D                                                                                
SLB SWASTA HOME BASE,69946836,C04712220C5C7B72BD00                                                                                
