npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
P2963181,PKBM PONCOWATI,SWASTA,PKBM,56203,Kec. Kartoharjo,56200,Kota Madiun,50000,Prov. Jawa Timur,-7.619873,111.532652
P9952892,PKBM KUTTAB AL FATIH,SWASTA,PKBM,26604,Kec. Cimanggis,26600,Kota Depok,20000,Prov. Jawa Barat,-6.3581,106.8736
P9954253,PKBM AGUNG MAKMUR,SWASTA,PKBM,21915,Kec. Cipunagara,21900,Kab. Subang,20000,Prov. Jawa Barat,-6.492,107.8833
P9996997,PKBM Insan Cendikia,SWASTA,PKBM,86111,Kec. Koto Tangah,86100,Kota Padang,80000,Prov. Sumatera Barat,-0.8687,100.3467
P9970538,PKBM AL-BAYAAN,SWASTA,PKBM,20714,Kec. Cilaku,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-6.8612,107.1648
P9963183,PKBM RAUDHATUL HASANAH,SWASTA,PKBM,60824,Kec. Lawe Sumur,60800,Kab. Aceh Tenggara,60000,Prov. Aceh,3.4659628,97.8530805
P9970681,PKBM AZAHRA,SWASTA,PKBM,290117,Kec. Riau Silip,290100,Kab. Bangka,290000,Prov. Kepulauan Bangka Belitung,-1.6961274,105.9782165
P2962455,PKBM BINA MANDIRI,SWASTA,PKBM,100104,Kec. Muara Bulian,100100,Kab. Batang Hari,100000,Prov. Jambi,-1.6929,103.1841
P2960898,PKBM Al-Ihsan   ,SWASTA,PKBM,316002,Kec. Sekupang,316000,Kota Batam,310000,Prov. Kepulauan Riau,1.0310827,104.0768246
P9948643,PKBM KH.AHMAD DAHLAN,SWASTA,PKBM,120905,Kec. Gedung Tataan,120900,Kab. Pesawaran,120000,Prov. Lampung,-5.4104529,105.0897311
P2966781,PKBM SERUMPUN,SWASTA,PKBM,150803,Kec. Kelua,150800,Kab. Tabalong,150000,Prov. Kalimantan Selatan,-2.2792,115.3001
P9908849,PKBM CITRA BANGSA,SWASTA,PKBM,52512,Kec. Rogojampi,52500,Kab. Banyuwangi,50000,Prov. Jawa Timur,-8.3254,114.275
P2967218,PKBM ARAFAH,SWASTA,PKBM,16403,Kec. Cipayung,16400,Kota Jakarta Timur,10000,Prov. D.K.I. Jakarta,-6.338325,106.89976
P9934361,PKBM GRAHARI,SWASTA,PKBM,21626,Kec. Kasokandel,21600,Kab. Majalengka,20000,Prov. Jawa Barat,-7.7636,108.1986
P2967583,PKBM GELIAT BOCAH KAMPOENG PROGRAM ,SWASTA,PKBM,286307,Kec. Setu,286300,Kota Tangerang Selatan,280000,Prov. Banten,-6.354,106.7075
P9962985,PKBM AL - QADAR,SWASTA,PKBM,52818,Kec. Batang-Batang,52800,Kab. Sumenep,50000,Prov. Jawa Timur,-6.9333315,114.0210978
P9997026,PKBM BAHARI,SWASTA,PKBM,170221,Kec. Kakas,170200,Kab. Minahasa,170000,Prov. Sulawesi Utara,0,0
P2965603,PKBM CERDAS,SWASTA,PKBM,76502,Kec. Sibolga Kota,76500,Kota Sibolga,70000,Prov. Sumatera Utara,1.7541139,98.7998093
P2960015,PKBM Walibu,SWASTA,PKBM,250123,Kec. Sentani,250100,Kab. Jayapura,250000,Prov. Papua,-2.60058,140.51373
P9970535,PKBM AL BADRIYAH,SWASTA,PKBM,50215,Kec. Gedangan,50200,Kab. Sidoarjo,50000,Prov. Jawa Timur,-7.3821142,112.7363207
P2966352,PKBM AL BIRSALAM,SWASTA,PKBM,280139,Kec. Majasari,280100,Kab. Pandeglang,280000,Prov. Banten,-6.3106,106.0867
P2967082,PKBM DILEM RENGGALI,SWASTA,PKBM,60506,Kec. Silih Nara,60500,Kab. Aceh Tengah,60000,Prov. Aceh,4.6371,96.7361
P9980031,PKBM FRIDA AMAZING,SWASTA,PKBM,70416,Kec. Siantar,70400,Kab. Simalungun,70000,Prov. Sumatera Utara,2.9308782,99.0856494
P2962599,PKBM MAGHFIRAH,SWASTA,PKBM,190204,Kec. Pangkajene,190200,Kab. Pangkajene Kepulauan,190000,Prov. Sulawesi Selatan,-4.864,119.5721
P9996893,PKBM ISLAM MANDANGIN,SWASTA,PKBM,52703,Kec. Sampang,52700,Kab. Sampang,50000,Prov. Jawa Timur,-7.1552511,113.2621814
P2964445,PKBM SINAR MENTARI,SWASTA,PKBM,36103,Kec. Pasarkliwon,36100,Kota Surakarta,30000,Prov. Jawa Tengah,-7.5772,110.8424
P9934917,PKBM Jimugi Bouu,SWASTA,PKBM,250908,Kec. Nabire,250900,Kab. Nabire,250000,Prov. Papua,-3.3545,135.5023
P2961520,PKBM MAGENDA JAYA,SWASTA,PKBM,52210,Kec. Bondowoso,52200,Kab. Bondowoso,50000,Prov. Jawa Timur,-7.9223413,113.8166203
P9996283,PKBM NURUL AL RIDHA,SWASTA,PKBM,70214,Kec. Tanjung Pura,70200,Kab. Langkat,70000,Prov. Sumatera Utara,3.9597313,98.4341702
P2960480,PKBM PANCA HIDAYAH,SWASTA,PKBM,51606,Kec. Kalidawir,51600,Kab. Tulungagung,50000,Prov. Jawa Timur,-8.15924,111.9634178
P9954423,PKBM IDAMAN BERSAMA,SWASTA,PKBM,201605,Kec.Talaga Raya,201600,Kab. Buton Tengah,200000,Prov. Sulawesi Tenggara,-5.4905,122.0483
P2963590,PKBM CERDAS,SWASTA,PKBM,76001,Kec. Medan Tuntungan,76000,Kota Medan,70000,Prov. Sumatera Utara,3.5733,98.6257
P9996318,PKBM KARYA NYATA,SWASTA,PKBM,196014,Kec. Manggala,196000,Kota Makassar,190000,Prov. Sulawesi Selatan,-5.1873159,119.502503
P9996385,PKBM NURUL ASROR,SWASTA,PKBM,20712,Kec. Cibeber,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-6.978293,107.1300295
P9963108,PKBM BINA MANDIRI,SWASTA,PKBM,280110,Kec. Saketi,280100,Kab. Pandeglang,280000,Prov. Banten,-6.4401984,105.9533542
P2960696,PKBM Cipondok Jaya,SWASTA,PKBM,20517,Kec. Jonggol,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.4362,107.0754
P9970222,PKBM ARISTOKRAT,SWASTA,PKBM,120708,Kec. Way Jepara,120700,Kab. Lampung Timur,120000,Prov. Lampung,-5.166,105.7037
P2963164,PKBM MAPPIDECENG,SWASTA,PKBM,191504,Kec. Baranti,191500,Kab. Sidenreng Rappang,190000,Prov. Sulawesi Selatan,-3.8558,119.7945
P9948095,PKBM SANOHI,SWASTA,PKBM,216102,Kec. Pulau Dullah Selatan,216100,Kota Tual,210000,Prov. Maluku,-5.6385,132.7423
P9997422,PKBM DIRGANTARA,SWASTA,PKBM,21114,Kec. Cilawu,21100,Kab. Garut,20000,Prov. Jawa Barat,0,0
P9952606,PKBM Perintis,SWASTA,PKBM,240402,Kec. Miomafo Timur,240400,Kab. Timor Tengah Utara,240000,Prov. Nusa Tenggara Timur,-9.4061264,124.4646639
