npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
P2960354,SKB KABUPATEN BUNGO,NEGERI,SKB,100213,Kec. Bathin III,100200,Kab. Bungo,100000,Prov. Jambi,-1.695475,101.867931
P9970065,SKB PORSEA ,NEGERI,SKB,71607,Kec. Porsea,71600,Kab. Toba Samosir,70000,Prov. Sumatera Utara,2.4692543,99.1392575
P9954248,SPNF SKB KOTA CIREBON,NEGERI,SKB,26304,Kec. Kesambi,26300,Kota Cirebon,20000,Prov. Jawa Barat,-6.7352,108.5324
P9996365,PNF SKB,NEGERI,SKB,286008,Kec. Citangkil,286000,Kota Cilegon,280000,Prov. Banten,-5.9910745,105.9913037
P9954175,SKB Kabupaten Bone,NEGERI,SKB,190725,Kec. Tanete Riattang,190700,Kab. Bone,190000,Prov. Sulawesi Selatan,-4.5572,120.338
P9969990,SKB KOTA TANJUNGPINANG,NEGERI,SKB,316101,Kec. Tanjung Pinang Barat,316100,Kota Tanjungpinang,310000,Prov. Kepulauan Riau,0.919306,104.4468926
P9948220,"SKB, KAB. KOLAKA",NEGERI,SKB,200415,Kec. Latambaga,200400,Kab. Kolaka,200000,Prov. Sulawesi Tenggara,-4.0548,121.592
P9954369,SKB KABUPATEN BOALEMO,NEGERI,SKB,300104,Kec. Tilamuta,300100,Kab. Boalemo,300000,Prov. Gorontalo,0.5251067,122.3565983
P9948403,SKB KOTA PANGKALPINANG,NEGERI,SKB,296005,Kec. Gerunggang,296000,Kota Pangkalpinang,290000,Prov. Kepulauan Bangka Belitung,-2.2114461,106.0634843
P9962697,SKB MOPIDO,NEGERI,SKB,180604,Kec. Baolan,180600,Kab. Tolitoli,180000,Prov. Sulawesi Tengah,1.0354,120.8179
P9959913,SKB WONOGIRI,NEGERI,SKB,31214,Kec. Wonogiri,31200,Kab. Wonogiri,30000,Prov. Jawa Tengah,-7.825774,110.9112867
P9945711,SKB BALIKPAPAN TIMUR,NEGERI,SKB,166102,Kec. Balikpapan Timur,166100,Kota Balikpapan,160000,Prov. Kalimantan Timur,-1.2244,116.9698
P9970007,SKB DISDIKBUD ACEH SELATAN,NEGERI,SKB,60709,Kec. Labuhan Haji,60700,Kab. Aceh Selatan,60000,Prov. Aceh,3.5731509,96.9759174
P9970045,SKB II TANAH DATAR,NEGERI,SKB,80710,Kec. Sungai Tarab,80700,Kab. Tanah Datar,80000,Prov. Sumatera Barat,-0.4077899,100.5464378
P9970262,SKB Tanah Bumbu,NEGERI,SKB,151101,Kec. Kusan Hilir,151100,Kab. Tanah Bumbu,150000,Prov. Kalimantan Selatan,-3.6082938,115.9348305
P9963179,SKB LABUHANBATU,NEGERI,SKB,70722,Kec. Rantau Utara,70700,Kab. Labuhan Batu,70000,Prov. Sumatera Utara,2.095145,99.8341086
P9970334,SKB KABUPATEN NGANJUK,NEGERI,SKB,51414,Kec. Nganjuk,51400,Kab. Nganjuk,50000,Prov. Jawa Timur,-7.6037,111.9082
P9970226,SKB Kabupaten Seluma,NEGERI,SKB,260811,Kec. Seluma Timur,260800,Kab. Seluma,260000,Prov. Bengkulu,-4.0886,102.5563
P9959904,SKB KOTA CIMAHI,NEGERI,SKB,26703,Kec. Cimahi Utara,26700,Kota Cimahi,20000,Prov. Jawa Barat,-6.8543,107.5393
P9959660,SPNF SKB WALMAS,NEGERI,SKB,191708,Kec. Walenrang,191700,Kab. Luwu,190000,Prov. Sulawesi Selatan,-2.8816,120.1577
P9970341,SKB NATUNA,NEGERI,SKB,310305,Kec. Bunguran Timur,310300,Kab. Natuna,310000,Prov. Kepulauan Riau,3.9261,108.3719
P9954349,SKB SONDER,NEGERI,SKB,170213,Kec. Sonder,170200,Kab. Minahasa,170000,Prov. Sulawesi Utara,1.266,124.7911
P9948162,Skb Kota Solok,NEGERI,SKB,86402,Kec. Tanjung Harapan,86400,Kota Solok,80000,Prov. Sumatera Barat,-0.7843,100.6733
P9970529,SATUAN PENDIDIKAN NONFORMAL (SPNF) KABUPATEN BINTAN,NEGERI,SKB,310106,Kec. Toapaya,310100,Kab. Bintan,310000,Prov. Kepulauan Riau,1.0672043,104.4418826
P9962889,SKB SEBATIK,NEGERI,SKB,340519,Kec. Sebatik Utara,340500,Kab. Nunukan,340000,Prov. Kalimantan Utara,4.1586965,117.8951584
P9952475,SKB Balikpapan Utara,NEGERI,SKB,166103,Kec. Balikpapan Utara,166100,Kota Balikpapan,160000,Prov. Kalimantan Timur,-1.2347,116.853
P9956821,SPN SKB MALRA,NEGERI,SKB,210201,Kec. Kei Kecil,210200,Kab. Maluku Tenggara,210000,Prov. Maluku,-5.6478,132.7488
P9959893,SPNF SKB KOTA BUKITTINGGI,NEGERI,SKB,86002,Kec. Mandiangin Koto Selayan,86000,Kota Bukittinggi,80000,Prov. Sumatera Barat,-0.2809,100.3397
P9952843,SKB KEBUMEN,NEGERI,SKB,30513,Kec. Pejagoan,30500,Kab. Kebumen,30000,Prov. Jawa Tengah,-7.6632739,109.6413606
P9970219,SKB KABUPATEN ENDE,NEGERI,SKB,240920,Kec. Ende Tengah,240900,Kab. Ende,240000,Prov. Nusa Tenggara Timur,-8.8415,121.6523
P9970441,SPNF SKB Kab. Kerinci,NEGERI,SKB,100507,Kec. Air Hangat,100500,Kab. Kerinci,100000,Prov. Jambi,-1.8946409,101.4940864
P9952648,SKB KABUPATEN SUKOHARJO,NEGERI,SKB,31104,Kec. Sukoharjo,31100,Kab. Sukoharjo,30000,Prov. Jawa Tengah,-7.6749979,110.834065
P9970257,Satuan Pendidikan Non Formal SKB Sangatta Selatan,NEGERI,SKB,161013,Kec. Sangatta Selatan,161000,Kab. Kutai Timur,160000,Prov. Kalimantan Timur,0.4543,117.5464
P9963040,SKB MAJALENGKA ,NEGERI,SKB,21607,Kec. Majalengka,21600,Kab. Majalengka,20000,Prov. Jawa Barat,-6.8438415,108.2276638
P9952513,SKB KOTA METRO,NEGERI,SKB,126103,Kec. Metro Barat,126100,Kota Metro,120000,Prov. Lampung,-5.1355,105.3086
P9959710,Satuan Pendidikan Non Formal Sanggar Kegiatan Belajar(SPNF-SKB) Kab.Dharmasraya,NEGERI,SKB,81204,Kec. Pulau Punjung,81200,Kab. Dharmasraya,80000,Prov. Sumatera Barat,-0.90364,101.482241
P9959761,SKB TINANGGEA,NEGERI,SKB,200501,Kec. Tinanggea,200500,Kab. Konawe Selatan,200000,Prov. Sulawesi Tenggara,-4.4397,122.2286
P9954302,SKB MAPANDE,NEGERI,SKB,180210,Kec. Sindue,180200,Kab. Donggala,180000,Prov. Sulawesi Tengah,-0.6107,119.8033
P9957084,SKB KAB.BUTON,NEGERI,SKB,200306,Kec. Pasar Wajo,200300,Kab. Buton,200000,Prov. Sulawesi Tenggara,-5.4982593,122.8402993
P9959689,SKB KOTA TARAKAN,NEGERI,SKB,346001,Kec. Tarakan Timur,346000,Kota Tarakan,340000,Prov. Kalimantan Utara,3.3097396,117.6390762
P9984800,SPNF TOMPASOBARU,NEGERI,SKB,170502,Kec. Tompaso Baru,170500,Kab. Minahasa Selatan,170000,Prov. Sulawesi Utara,0.9264016,124.5208487
P2965477,Satuan PNF SKB Kota Semarang,NEGERI,SKB,36302,Kec. Gunung Pati,36300,Kota Semarang,30000,Prov. Jawa Tengah,-7.1011,110.3729
P9952552,SKB LAMPUNG TIMUR,NEGERI,SKB,120712,Kec. Purbolinggo,120700,Kab. Lampung Timur,120000,Prov. Lampung,-4.9986,105.5132
P9945654,SKB KABUPATEN SUMENEP,NEGERI,SKB,52827,Kec. Batuan,52800,Kab. Sumenep,50000,Prov. Jawa Timur,-6.9965189,113.8251182
P9954079,SPNF WIL II,NEGERI,SKB,240301,Kec. Mollo Utara,240300,Kab. Timor Tengah Selatan,240000,Prov. Nusa Tenggara Timur,-9.7326,124.223
P9963020,SKB KOTA TIDORE KEPULAUAN,NEGERI,SKB,276108,Kec. Tidore,276100,Kota Tidore Kepulauan,270000,Prov. Maluku Utara,0.6718,127.448
P9959914,SKB KABUPATEN MUSI BANYUASIN,NEGERI,SKB,110104,Kec. Sekayu,110100,Kab. Musi Banyuasin,110000,Prov. Sumatera Selatan,0.3274,109.3849
