npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
69965360,SLBN 1 TIKEP,NEGERI,SLB,201310,Kec. Tiworo Kepulauan,201300,Kab. Muna Barat,200000,Prov. Sulawesi Tenggara,-4.8077217,122.4155833
20215028,SLB-B BERINGIN BHAKTI,SWASTA,SLB,21734,Kec. Talun,21700,Kab. Cirebon,20000,Prov. Jawa Barat,-6.7512617,108.5173833
20108949,SLB B PANGUDI LUHUR,SWASTA,SLB,16201,Kec. Kembangan,16200,Kota Jakarta Barat,10000,Prov. D.K.I. Jakarta,-6.1872,106.7545
10495039,SLB KASIH IBU,SWASTA,SLB,96010,Kec. Marpoyan Damai,96000,Kota Pekanbaru,90000,Prov. Riau,0.5421,101.4228
69987635,SLB YAMET SCHOOL CENDANA LAMPUNG,SWASTA,SLB,126014,Kec. Labuhan Ratu,126000,Kota Bandar Lampung,120000,Prov. Lampung,-5.3849,105.2512
20109529,SLB Negeri 6 Jakarta,NEGERI,SLB,16201,Kec. Kembangan,16200,Kota Jakarta Barat,10000,Prov. D.K.I. Jakarta,-6.2133,106.7413
20258329,SLB B-C SURYA WIYATA,SWASTA,SLB,26501,Kec. Pondokgede,26500,Kota Bekasi,20000,Prov. Jawa Barat,-6.2596,106.911
69876125,SLB AL HASANAIN,SWASTA,SLB,230212,Kec. Praya Tengah,230200,Kab. Lombok Tengah,230000,Prov. Nusa Tenggara Barat,-8.70634,116.336897
69976860,SLBN Dr. RADJIMAN WEDYODININGRAT,NEGERI,SLB,50902,Kec. Ngrambe,50900,Kab. Ngawi,50000,Prov. Jawa Timur,-7.5192,111.2274
69892366,SLB-YBSM,SWASTA,SLB,66101,Kec. Meuraxa,66100,Kota Banda Aceh,60000,Prov. Aceh,5.550732,95.295157
20310491,SLB B-C YPAALB LANGENHARJO,SWASTA,SLB,31109,Kec. Grogol,31100,Kab. Sukoharjo,30000,Prov. Jawa Tengah,-7.6191,110.8077
10701050,SLBN 01 Bengkulu Selatan,NEGERI,SLB,260304,Kec. Manna,260300,Kab. Bengkulu Selatan,260000,Prov. Bengkulu,-4.4214,103.1365
20519475,SLB BHINEKA,SWASTA,SLB,51914,Kec. Beji,51900,Kab. Pasuruan,50000,Prov. Jawa Timur,-7.5903,112.7847
40402741,SLB TAT TWAM ASI,SWASTA,SLB,206102,Kec. Wolio,206100,Kota Baubau,200000,Prov. Sulawesi Tenggara,-5.4644,122.610575
50219681,SLB DHARMA WANITA PANE KOTA BIMA,SWASTA,SLB,236101,Kec. RasanaE Barat,236100,Kota Bima,230000,Prov. Nusa Tenggara Barat,-8.4556,118.7348
20267659,SLB PURNAMA ASIH,SWASTA,SLB,22311,Kec. Parongpong,22300,Kab. Bandung Barat,20000,Prov. Jawa Barat,-6.8739,107.5744
20554610,SLB BETHEL,SWASTA,SLB,50813,Kec. Madiun,50800,Kab. Madiun,50000,Prov. Jawa Timur,-7.5956,111.5382
20532428,SLB A YPAB,SWASTA,SLB,56018,Kec. Tegal Sari,56000,Kota Surabaya,50000,Prov. Jawa Timur,-7.266269,112.735853
20219879,SLB BC HIKMAT,SWASTA,SLB,26009,Kec. Buahbatu,26000,Kota Bandung,20000,Prov. Jawa Barat,-6.9523,107.6522
