npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
69995713,SMAN 18 BOMBANA,NEGERI,SMA,200722,Kec. Mata Usu,200700,Kab. Bombana,200000,Prov. Sulawesi Tenggara,-4.5004,121.7493
10600526,SMAN 1 PEDAMARAN,NEGERI,SMA,110204,Kec. Pedamaran,110200,Kab. Ogan Komering Ilir,110000,Prov. Sumatera Selatan,-3.5043,104.8297
30106120,SMAN 1 BELITANG,NEGERI,SMA,131005,Kec. Belitang,131000,Kab. Sekadau,130000,Prov. Kalimantan Barat,0.1346,111.2355
40311947,SMA NASIONAL MAKASSAR,SWASTA,SMA,196001,Kec. Mariso,196000,Kota Makassar,190000,Prov. Sulawesi Selatan,-5.1557117,119.416205
10220770,SMAN 1 SIMANGAMBAT,NEGERI,SMA,72306,Kec. Simangambat,72300,Kab. Padang Lawas utara,70000,Prov. Sumatera Utara,1.4501,99.9354
40204324,SMAN 2 LAMALA,NEGERI,SMA,180419,Kec. Mantoh,180400,Kab. Banggai,180000,Prov. Sulawesi Tengah,-1.0053,123.2465
20309735,SMAS BERBUDI GANTIWARNO,SWASTA,SMA,31002,Kec. Gantiwarno,31000,Kab. Klaten,30000,Prov. Jawa Tengah,-7.7662657,110.5612033
40403661,SMAN 1 MELUHU,NEGERI,SMA,200133,Kec. Meluhu,200100,Kab. Konawe,200000,Prov. Sulawesi Tenggara,-3.8103,122.1784
10259677,SMAN 1 RONGGURNIHUTA,NEGERI,SMA,72008,Kec. Ronggur Nihuta,72000,Kab. Samosir,70000,Prov. Sumatera Utara,2.6154,98.7511
20215019,SMAS PGRI KARANGSEMBUNG,SWASTA,SMA,21705,Kec. Karang Sembung,21700,Kab. Cirebon,20000,Prov. Jawa Barat,-6.8454,108.639
20200686,SMAS DWI WARNA,SWASTA,SMA,20524,Kec. Parung,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.452,106.7296
40318275,SMAN 10 SINJAI,NEGERI,SMA,191205,Kec. Sinjai Timur,191200,Kab. Sinjai,190000,Prov. Sulawesi Selatan,-5.1376383,120.262515
50308460,SMAS TUNAS BANGSA,SWASTA,SMA,246004,Kec. Kelapa Lima,246000,Kota Kupang,240000,Prov. Nusa Tenggara Timur,-10.157578,123.648237
20101323,SMAS PADINDI,SWASTA,SMA,16208,Kec. Kali Deres,16200,Kota Jakarta Barat,10000,Prov. D.K.I. Jakarta,-6.1164,106.7072
50300267,SMAN 1 TAEBENU,NEGERI,SMA,240131,Kec. Taebenu,240100,Kab. Kupang,240000,Prov. Nusa Tenggara Timur,-10.1951,123.6964
20503414,SMA NEGERI 2 JOMBANG,NEGERI,SMA,50413,Kec. Jombang,50400,Kab. Jombang,50000,Prov. Jawa Timur,-7.5517,112.2269
10703326,SMAN 7 KEPAHIANG,NEGERI,SMA,260505,Kec. Muara Kemumu,260500,Kab. Kepahiang,260000,Prov. Bengkulu,-3.6454,102.6839
10608963,SMAN 3 SEKAYU,NEGERI,SMA,110104,Kec. Sekayu,110100,Kab. Musi Banyuasin,110000,Prov. Sumatera Selatan,-2.7857,103.8683
69970305,SMA Swasta Terpadu Al-Furqan,SWASTA,SMA,61208,Kec. Peusangan,61200,Kab. Bireuen,60000,Prov. Aceh,5.1978,96.808892
69934744,SMA GAZA,SWASTA,SMA,21220,Kec. Cigalontang,21200,Kab. Tasikmalaya,20000,Prov. Jawa Barat,-7.3542,108.0237
30104505,SMAN 1 NGABANG,NEGERI,SMA,130903,Kec. Ngabang,130900,Kab. Landak,130000,Prov. Kalimantan Barat,0.59,110.0936
10307955,SMAS PEMBANGUNAN,SWASTA,SMA,86003,Kec. Aur Birugo Tigo Baleh,86000,Kota Bukittinggi,80000,Prov. Sumatera Barat,-0.3111,100.3777
60301589,SMAS KRISTEN,SWASTA,SMA,250872,Kec. Hubikiak,250800,Kab. Jaya Wijaya,250000,Prov. Papua,-4.071595,138.9322233
10205366,SMAS YPKK AJAMU,SWASTA,SMA,70714,Kec. Panai Hulu,70700,Kab. Labuhan Batu,70000,Prov. Sumatera Utara,2.4522,100.1576
69977407,SMA BEACON ACADEMY,SWASTA,SMA,16105,Kec. Kelapa Gading,16100,Kota Jakarta Utara,10000,Prov. D.K.I. Jakarta,-6.165483,106.917785
69831977,SMA ISLAM KREATIF MUHAMMADIYAH CIANJUR,SWASTA,SMA,20720,Kec. Cianjur,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-6.8399,107.1425
50302627,SMA ADHYAKSA ENDE,SWASTA,SMA,240920,Kec. Ende Tengah,240900,Kab. Ende,240000,Prov. Nusa Tenggara Timur,-8.8331283,121.658095
69918146,SMAN 4 CIBINONG,NEGERI,SMA,20521,Kec. Cibinong,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.4862133,106.8582783
30107281,SMAN 10 SINGKAWANG,NEGERI,SMA,136104,Kec. Singkawang Barat,136100,Kota Singkawang,130000,Prov. Kalimantan Barat,0.9173883,108.97211
40600226,SMAN 1 KALUKKU,NEGERI,SMA,330103,Kec. Kalukku,330100,Kab. Mamuju,330000,Prov. Sulawesi Barat,-2.5401,119.0712
20328918,SMA ISLAM SULTAN AGUNG 1,SWASTA,SMA,36305,Kec. Semarang Selatan,36300,Kota Semarang,30000,Prov. Jawa Tengah,-6.996687,110.430995
60203813,SMAS AL IRSYAD KOTA TERNATE,SWASTA,SMA,276002,Kec. Ternate Selatan,276000,Kota Ternate,270000,Prov. Maluku Utara,0.7733,127.3701
20102193,SMAN 47 JAKARTA,NEGERI,SMA,16305,Kec. Kebayoran Lama,16300,Kota Jakarta Selatan,10000,Prov. D.K.I. Jakarta,-6.2471,106.7731
10402728,SMAN 1 PANGKALAN KURAS,NEGERI,SMA,90802,Kec. Pangkalan Kuras,90800,Kab. Pelalawan,90000,Prov. Riau,0.1273,102.0657
20216205,SMAS MUHAMMADIYAH JATIBARANG,SWASTA,SMA,21813,Kec. Jatibarang,21800,Kab. Indramayu,20000,Prov. Jawa Barat,-6.4671,108.3023
50306157,SMA NEGERI 1 TITEHENA,NEGERI,SMA,240708,Kec. Titehena,240700,Kab. Flores Timur,240000,Prov. Nusa Tenggara Timur,-8.4181,122.8098
20515428,SMAN 1 PAKEL,NEGERI,SMA,51603,Kec. Pakel,51600,Kab. Tulungagung,50000,Prov. Jawa Timur,-8.1691,111.8276
60100977,SMA NEGERI 5 BURU,NEGERI,SMA,210322,Kec. Lilialy,210300,Kab. Buru,210000,Prov. Maluku,-3.1478,126.9872
20102214,SMAN 34 JAKARTA,NEGERI,SMA,16303,Kec. Cilandak,16300,Kota Jakarta Selatan,10000,Prov. D.K.I. Jakarta,-6.3134,106.7949
10609637,SMA DARMA BHAKTI PALEMBANG,SWASTA,SMA,116014,Kec. Kalidoni,116000,Kota Palembang,110000,Prov. Sumatera Selatan,-2.97,104.8151
20221558,SMAS YAYASAN AHMAD DJUWAENI,SWASTA,SMA,26205,Kec. Cikole,26200,Kota Sukabumi,20000,Prov. Jawa Barat,-6.9195,106.9231
69913893,SMA NEGERI 1 WULANDONI,NEGERI,SMA,241408,Kec. Wulandoni,241400,Kab. Lembata,240000,Prov. Nusa Tenggara Timur,-8.534,123.4472
10814991,SMAN 6 METRO,NEGERI,SMA,126105,Kec. Metro Selatan,126100,Kota Metro,120000,Prov. Lampung,-5.1650846,105.3170452
69772588,SMA NEGERI MIOMAFFO TENGAH,NEGERI,SMA,240411,Kec. Miomafo Tengah,240400,Kab. Timor Tengah Utara,240000,Prov. Nusa Tenggara Timur,-9.5442233,124.4030117
11002042,SMAN 1 BUNGURAN BARAT,NEGERI,SMA,310304,Kec. Bunguran Barat,310300,Kab. Natuna,310000,Prov. Kepulauan Riau,3.9378,108.1135
69938144,SMA AFIFIYAH,SWASTA,SMA,52801,Kec. Pragaan,52800,Kab. Sumenep,50000,Prov. Jawa Timur,-7.1023,113.6623
69725644,SMAS ISLAM ISLAHUL UMMAH,SWASTA,SMA,230802,Kec. Gangga,230800,Kab. Lombok Utara,230000,Prov. Nusa Tenggara Barat,-8.3622483,116.24651
30100380,SMAN 1 JAWAI,NEGERI,SMA,130105,Kec. Jawai,130100,Kab. Sambas,130000,Prov. Kalimantan Barat,1.318281,109.053885
20546525,SMAS ISLAM RADEN FATAH,SWASTA,SMA,52007,Kec. Banyuanyar,52000,Kab. Probolinggo,50000,Prov. Jawa Timur,-7.8413,113.321
10108044,SMAN 2 TAMIANG HULU,NEGERI,SMA,61401,Kec. Tamiang Hulu,61400,Kab. Aceh Tamiang,60000,Prov. Aceh,4.2322,97.921
20321959,SMAN 1 KALIWUNGU,NEGERI,SMA,32408,Kec. Kaliwungu,32400,Kab. Kendal,30000,Prov. Jawa Tengah,-6.9764,110.2501
20536295,SMAN 4 PROBOLINGGO,NEGERI,SMA,56705,Kec. Kanigaran,56700,Kota Probolinggo,50000,Prov. Jawa Timur,-7.7652,113.2028
20210760,SMAS MUHAMMADIYAH RAWA,SWASTA,SMA,21221,Kec. Leuwisari,21200,Kab. Tasikmalaya,20000,Prov. Jawa Barat,-7.3174,108.0828
20562423,SMA NEGERI 1 KURIPAN,NEGERI,SMA,52003,Kec. Kuripan,52000,Kab. Probolinggo,50000,Prov. Jawa Timur,-7.8905,113.1364
20339001,SMA BOPKRI 1 PATI,SWASTA,SMA,31810,Kec. Pati,31800,Kab. Pati,30000,Prov. Jawa Tengah,-6.755,111.0353
