npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
69830425,SMKS KESEHATAN BINA MITRA HUSADA,SWASTA,SMK,52411,Kec. Ajung,52400,Kab. Jember,50000,Prov. Jawa Timur,-8.23473,113.683658
69725264,SMKN 1 PALIBELO,NEGERI,SMK,230618,Kec. Palibelo,230600,Kab. Bima,230000,Prov. Nusa Tenggara Barat,-8.5426,118.7018
20532711,SMKS WACHID HASYIM SURABAYA,SWASTA,SMK,56021,Kec. Kenjeran,56000,Kota Surabaya,50000,Prov. Jawa Timur,-7.233,112.76
10211071,SMKS BINA SATRIA,SWASTA,SMK,76020,Kec. Medan Marelan,76000,Kota Medan,70000,Prov. Sumatera Utara,3.6894,98.6553
69944703,SMK NUSANTARA TANAH MERAH,SWASTA,SMK,90504,Kec. Tanah Merah,90500,Kab. Indragiri Hilir,90000,Prov. Riau,-0.513525,103.384674
30403015,SMK Negeri 12 Samarinda,NEGERI,SMK,166004,Kec. Sungai Kunjang,166000,Kota Samarinda,160000,Prov. Kalimantan Timur,-0.5622767,117.07842
60726847,SMKS MANDIRI,SWASTA,SMK,21209,Kec. Sodonghilir,21200,Kab. Tasikmalaya,20000,Prov. Jawa Barat,-7.4882,108.0493
20311049,SMKS GAJAH MUNGKUR WONOGIRI,SWASTA,SMK,31214,Kec. Wonogiri,31200,Kab. Wonogiri,30000,Prov. Jawa Tengah,-7.8125,110.951
69786925,SMKN 3 Rantau Utara,NEGERI,SMK,70722,Kec. Rantau Utara,70700,Kab. Labuhan Batu,70000,Prov. Sumatera Utara,2.1131,99.8101
69753085,SMK NEGERI 1 DAYUN,NEGERI,SMK,91106,Kec. Dayun,91100,Kab. Siak,90000,Prov. Riau,0.5886,102.0547
69901596,SMK YADIKA 9 BINTARA,SWASTA,SMK,26506,Kec. Bekasi Barat,26500,Kota Bekasi,20000,Prov. Jawa Barat,-6.2326,106.9697
10259968,SMKS ERA UTAMA,SWASTA,SMK,70105,Kec. Pancur Batu,70100,Kab. Deli Serdang,70000,Prov. Sumatera Utara,3.478,98.5985
69965818,SMK HASAN JUFRI BAWEAN,SWASTA,SMK,50117,Kec. Sangkapura,50100,Kab. Gresik,50000,Prov. Jawa Timur,-5.8414,112.6257
50219557,SMK KESEHATAN SUMBAWA BARAT,SWASTA,SMK,230702,Kec. Taliwang,230700,Kab. Sumbawa Barat,230000,Prov. Nusa Tenggara Barat,-8.7591,116.8492
10403917,SMKS BINA TERAMPIL PEKANBARU,SWASTA,SMK,96009,Kec. Tenayan Raya,96000,Kota Pekanbaru,90000,Prov. Riau,0.5065,101.4953
20268268,SMKS NURUL HUDA SAGALAHERANG,SWASTA,SMK,21901,Kec. Sagalaherang,21900,Kab. Subang,20000,Prov. Jawa Barat,-6.6799,107.6507
20212909,SMK PERTIWI CILIMUS,SWASTA,SMK,21517,Kec. Cilimus,21500,Kab. Kuningan,20000,Prov. Jawa Barat,-6.8881,108.4925
69966693,SMK NURUL HUDA SINGOSARI,SWASTA,SMK,51828,Kec. Singosari,51800,Kab. Malang,50000,Prov. Jawa Timur,-7.8937,112.6298
69881354,SMK KASIMO,SWASTA,SMK,241909,Kec. Kota Tambolaka,241900,Kab. Sumba Barat Daya,240000,Prov. Nusa Tenggara Timur,-9.5053,119.1214
20517721,SMKS KOSGORO 1 LAWANG,SWASTA,SMK,51827,Kec. Lawang,51800,Kab. Malang,50000,Prov. Jawa Timur,-7.8331,112.6986
20276412,SMKS PGRI 1 CILAMAYA WETAN,SWASTA,SMK,22126,Kec. Cilamaya Wetan,22100,Kab. Karawang,20000,Prov. Jawa Barat,-6.2528,107.5809
40403165,SMKN 2 KONAWE SELATAN,NEGERI,SMK,200509,Kec. Andolo,200500,Kab. Konawe Selatan,200000,Prov. Sulawesi Tenggara,-4.3193947,122.2431628
40301040,SMKN 1 GOWA,NEGERI,SMK,190302,Kec. Bajeng,190300,Kab. Gowa,190000,Prov. Sulawesi Selatan,-5.2924,119.4386
69976824,SMKS MIFTAHUL HUDA,SWASTA,SMK,130418,Kec. Binjai Hulu,130400,Kab. Sintang,130000,Prov. Kalimantan Barat,0.20537,111.395497
40202302,SMKS SWAKARYA TOLITOLI,SWASTA,SMK,180604,Kec. Baolan,180600,Kab. Tolitoli,180000,Prov. Sulawesi Tengah,1.0442,120.8157
40103899,SMKN 1 MOTOLING BARAT,NEGERI,SMK,170520,Kec. Motoling Barat,170500,Kab. Minahasa Selatan,170000,Prov. Sulawesi Utara,1.0504,124.3883
20214821,SMKS SULTAN AGUNG SUMBER,SWASTA,SMK,21712,Kec. Sumber,21700,Kab. Cirebon,20000,Prov. Jawa Barat,-6.7618367,108.4866783
20101687,SMKS BINA KARYA JAKARTA,SWASTA,SMK,16205,Kec. Tambora,16200,Kota Jakarta Barat,10000,Prov. D.K.I. Jakarta,-6.154,106.807
20317564,SMKS RADEN UMAR SAID KUDUS,SWASTA,SMK,31908,Kec. Gebog,31900,Kab. Kudus,30000,Prov. Jawa Tengah,-6.7537,110.8428
10303507,SMKN 6 PADANG,NEGERI,SMK,86105,Kec. Padang Timur,86100,Kota Padang,80000,Prov. Sumatera Barat,-0.9368,100.3647
40314168,SMKS DEWANTARA TAGARI,SWASTA,SMK,192717,Kec. Tallunglipu,192700,Kab. Toraja Utara,190000,Prov. Sulawesi Selatan,-2.8805,119.9379
10507447,SMKS AL FATAH,SWASTA,SMK,100309,Kec. Singkut,100300,Kab. Sarolangun,100000,Prov. Jambi,-2.4922,102.7143
40500380,SMKN 1 LIMBOTO,NEGERI,SMK,300207,Kec. Limboto,300200,Kab. Gorontalo,300000,Prov. Gorontalo,0.6346783,122.9923083
20271297,SMKS YADIKA TANJUNGSARI,SWASTA,SMK,21003,Kec. Tanjungsari,21000,Kab. Sumedang,20000,Prov. Jawa Barat,-6.8969,107.8085
